Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",110.396873,-55.726612,90.000000,top
"C2","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.155000,-74.930000,0.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.500000,-77.250000,180.000000,top
"C4","4.7nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.500000,-81.250000,180.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.500000,-66.500000,180.000000,top
"C6","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.500000,-66.500000,0.000000,top
"C7","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",72.000000,-80.750000,0.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",72.000000,-83.000000,0.000000,top
"C9","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.500000,-79.250000,0.000000,top
"C10","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",72.000000,-77.500000,180.000000,top
"C11","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",72.000000,-75.250000,180.000000,top
"D0_0","1N4148W","D_SOD-123",22.000000,-36.650000,0.000000,top
"D0_1","1N4148W","D_SOD-123",40.000000,-24.650000,0.000000,top
"D0_2","1N4148W","D_SOD-123",58.000000,-17.650000,0.000000,top
"D0_3","1N4148W","D_SOD-123",76.000000,-23.150000,0.000000,top
"D0_4","1N4148W","D_SOD-123",94.000000,-25.650000,0.000000,top
"D1","SMF9.0CA","D_SOD-123",108.170001,-68.170003,180.000000,top
"D1_0","1N4148W","D_SOD-123",22.000000,-53.650000,0.000000,top
"D1_1","1N4148W","D_SOD-123",40.000000,-41.650000,0.000000,top
"D1_2","1N4148W","D_SOD-123",58.000000,-34.650000,0.000000,top
"D1_3","1N4148W","D_SOD-123",76.000000,-39.900000,0.000000,top
"D1_4","1N4148W","D_SOD-123",94.000000,-42.650000,0.000000,top
"D2","RB060M-30TR","D_SOD-123",108.170001,-70.670003,180.000000,top
"D2_0","1N4148W","D_SOD-123",22.000000,-70.650000,0.000000,top
"D2_1","1N4148W","D_SOD-123",40.000000,-58.650000,0.000000,top
"D2_2","1N4148W","D_SOD-123",58.000000,-51.800000,0.000000,top
"D2_3","1N4148W","D_SOD-123",76.000000,-57.150000,0.000000,top
"D2_4","1N4148W","D_SOD-123",94.000000,-59.650000,0.000000,top
"D3","1N4148W","D_SOD-123",45.000000,-76.750000,0.000000,top
"D3_3","1N4148W","D_SOD-123",84.365001,-79.054999,-15.000000,top
"D3_4","1N4148W","D_SOD-123",103.518134,-86.056779,-25.000000,top
"F1","500mA","Fuse_1206_3216Metric",108.170001,-65.670003,180.000000,top
"J1","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",108.585000,-48.260000,90.000000,top
"Jack0","PJ-320A","TRRS-PJ-320A",111.792500,-76.200000,-90.000000,top
"K0_0","KEYSW","Choc_Mini_PG1232_Choc_Spacing",22.000000,-41.000000,0.000000,top
"K0_1","KEYSW","Choc_Mini_PG1232_Choc_Spacing",40.000000,-29.000000,0.000000,top
"K0_2","KEYSW","Choc_Mini_PG1232_Choc_Spacing",58.000000,-22.000000,0.000000,top
"K0_3","KEYSW","Choc_Mini_PG1232_Choc_Spacing",76.000000,-27.500000,0.000000,top
"K0_4","KEYSW","Choc_Mini_PG1232_Choc_Spacing",94.000000,-30.000000,0.000000,top
"K1_0","KEYSW","Choc_Mini_PG1232_Choc_Spacing",22.000000,-58.000000,0.000000,top
"K1_1","KEYSW","Choc_Mini_PG1232_Choc_Spacing",40.000000,-46.000000,0.000000,top
"K1_2","KEYSW","Choc_Mini_PG1232_Choc_Spacing",58.000000,-39.000000,0.000000,top
"K1_3","KEYSW","Choc_Mini_PG1232_Choc_Spacing",76.000000,-44.500000,0.000000,top
"K1_4","KEYSW","Choc_Mini_PG1232_Choc_Spacing",94.000000,-47.000000,0.000000,top
"K2_0","KEYSW","Choc_Mini_PG1232_Choc_Spacing",22.000000,-75.000000,0.000000,top
"K2_1","KEYSW","Choc_Mini_PG1232_Choc_Spacing",40.000000,-63.000000,0.000000,top
"K2_2","KEYSW","Choc_Mini_PG1232_Choc_Spacing",58.000000,-56.000000,0.000000,top
"K2_3","KEYSW","Choc_Mini_PG1232_Choc_Spacing",76.000000,-61.500000,0.000000,top
"K2_4","KEYSW","Choc_Mini_PG1232_Choc_Spacing",94.000000,-64.000000,0.000000,top
"K3_3","KEYSW","Choc_Mini_PG1232_Choc_Spacing",83.185000,-83.185000,-15.000000,top
"K3_4","KEYSW","Choc_Mini_PG1232_Choc_Spacing",101.677994,-89.921865,-25.000000,top
"Q1","PDTC123JT,215","SOT-23",45.000000,-80.000000,0.000000,top
"R1","5.1kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.147204,-54.811285,180.000000,top
"R2","5.1kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.585000,-59.055000,0.000000,top
"R3","100kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.189320,-55.726612,90.000000,top
"R4","100kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.585000,-80.645000,0.000000,top
"R5","100kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.500000,-75.250000,180.000000,top
"SW1","B3U-1000P","SW_SPST_B3U-1000P",36.195000,-79.375000,-90.000000,top
"U1","STM32F072CBT6","Dual_MCU_QFP_QFN_48_with_breakout_pins",60.500000,-76.500000,90.000000,top
"U3","MCP1700T-3302E/TT","SOT-23",104.775000,-57.785000,0.000000,top
"U4","SRV05-4","SOT-23-6",108.170001,-62.420003,0.000000,top
